895536;90;7981;0.0
192329;63;7981;0.0
200428;47;7981;0.0
999559;42;4916;0.0
298700;47;4916;0.0
942934;33;4916;0.0
892231;6;9439;0.0
404291;52;9439;0.0
780054;33;9439;0.0
252341;10;9439;0.0
621830;54;9439;0.0
107357;79;9439;0.0
182809;50;9439;0.0
592508;63;9439;0.0
531551;47;9439;0.0
828768;61;9439;0.0
930659;71;9439;0.0
713380;69;9439;0.0
348691;91;9439;0.0
800605;40;9439;0.0
282829;93;9439;0.0
832959;42;9439;0.0
706935;87;9439;0.0
523121;55;9439;0.0
659285;88;9439;0.0
102516;90;9439;0.0
526043;33;9465;0.0
699983;90;7363;0.0
119610;87;7363;0.0
518341;88;5925;0.0
383428;90;5925;0.0
462680;87;5925;0.0
